cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,in_test_split,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,0,-1,IRR|BR16|manha + tarde,,False,,,,,,,,,,,,
BR16,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,0,-1,IRR|BR16|manha + tarde,,False,,,,,,,,,,,,
BR16,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,0,-1,IRR|BR16|manha + tarde,,False,,,,,,,,,,,,
BR16,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),True,0,7,IRR|BR16|manha + tarde,NIRR|BR16|unico,False,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0
BR16,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),True,6,0,NIRR|BR16|manha + tarde,IRR|BR16|manha + tarde,False,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
BR16,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,6,-1,NIRR|BR16|manha + tarde,,False,,,,,,,,,,,,
BR16,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,6,-1,NIRR|BR16|manha + tarde,,False,,,,,,,,,,,,
BR16,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,6,-1,NIRR|BR16|manha + tarde,,False,,,,,,,,,,,,
CD202,IRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),True,2,4,IRR|CD202|manha + tarde,IRR|EMB48|manha + tarde,False,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0
CD202,IRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,2,-1,IRR|CD202|manha + tarde,,False,,,,,,,,,,,,
CD202,IRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,2,-1,IRR|CD202|manha + tarde,,False,,,,,,,,,,,,
CD202,IRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,2,-1,IRR|CD202|manha + tarde,,False,,,,,,,,,,,,
CD202,NIRR,2017-02-23,dia2,1,B1,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),True,8,8,NIRR|CD202|manha + tarde,NIRR|CD202|manha + tarde,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0
CD202,NIRR,2017-02-23,dia2,2,B2,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,8,-1,NIRR|CD202|manha + tarde,,False,,,,,,,,,,,,
CD202,NIRR,2017-02-23,dia2,3,B3,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,8,-1,NIRR|CD202|manha + tarde,,False,,,,,,,,,,,,
CD202,NIRR,2017-02-23,dia2,4,B4,manha + tarde,manha + tarde,condicao_genotipo_turno,k-NN (k=5),False,8,-1,NIRR|CD202|manha + tarde,,False,,,,,,,,,,,,
